,notification_date,cases,death,applied
536,2021-09-11,1260,7,True
537,2021-09-12,1170,7,True
538,2021-09-13,1247,2,True
539,2021-09-14,1196,12,True
540,2021-09-15,1324,12,True
541,2021-09-16,1266,9,True
542,2021-09-17,1290,9,True
543,2021-09-18,1077,13,True
544,2021-09-19,911,4,True
545,2021-09-20,1045,10,True
546,2021-09-21,1126,5,True
547,2021-09-22,1056,6,True
548,2021-09-23,991,11,True
549,2021-09-24,1035,11,True
550,2021-09-25,916,9,True
551,2021-09-26,805,12,True
552,2021-09-27,836,7,True
553,2021-09-28,906,15,True
554,2021-09-29,968,6,True
555,2021-09-30,841,15,True
556,2021-10-01,829,10,True
557,2021-10-02,684,10,True
558,2021-10-03,631,6,True
559,2021-10-04,593,7,True
560,2021-10-05,544,10,True
561,2021-10-06,632,8,True
562,2021-10-07,672,11,True
563,2021-10-08,522,11,True
564,2021-10-09,510,6,True
